,brokerage_cash_value,sbux_value,ge_value,nrf_value,nsam_value,goog_value,mdor_value,bac_value,f_value,nat_value,usagx_value,bp_value,aapl_value,total_value
2014-06-01,5531.67,0.0,10831.605815399998,7737.8863,,,,0.0,6576.000000000001,841.788258,1449.03676,4540.5,,37508.4871334
2014-07-01,5584.36,0.0,10686.0523218,15840.458480000001,,,,0.0,6862.0,965.2779780000001,1742.53854,4769.73,,46450.417319800006
2014-08-01,5673.36,0.0,10225.1329254,15232.648679999998,0.0,,,0.0,6728.0,887.067822,1692.25327,4413.6,,44852.0626974
2014-09-01,5791.12,0.0,10504.110454799998,17308.552920000002,0.0,,,,6964.0,932.3473860000001,1750.74838,4305.6,,47556.4791408
2014-10-01,5893.84,0.0,10172.5719416,16308.004480000001,0.0,,,,5836.0,810.915828,1411.06625,3931.2,,44363.598499600004
2014-11-01,5708.34,0.0,10435.3768606,17374.009359999996,0.0,,,,5636.0,869.573445,1162.71859,3911.4,,45097.4182556
2014-12-01,544.15,0.0,10710.3112374,17084.130839999998,0.0,,,,6292.0,922.0565760000002,1222.23993,3538.8,,40313.688583400006
2015-01-01,39128.01,,,,,,,,,1034.226405,1211.97763,3427.2,,44801.414035
2015-02-01,20221.25,,,,,,,,,1041.429972,1390.5416500000001,3494.7,,26147.921621999998
2015-03-01,10244.0,,,,,,,,,1052.749863,1329.9940800000002,3729.6,,16356.343943000002
2015-04-01,10298.0,,,,,,,,,1225.635471,1161.69236,3519.9,,16205.227830999998
2015-05-01,10298.08,,,,,,,,,1258.5660630000002,1282.7875000000001,3884.3999999999996,,16723.833563
2015-06-01,10337.36,,,,,,,,,1343.979786,1258.15798,3684.6,,16624.097766
2015-07-01,10390.91,,,,,,,,,1464.3822630000002,1159.6399000000001,3596.4,,16611.332163
2015-08-01,10390.99,,,,,,,,,1545.679662,910.2660099999999,3326.4,,16173.335672
2015-09-01,10432.24,,,,,,,,,1402.6374030000002,941.05291,3019.4999999999995,,15795.430313
2015-10-01,10485.87,,,,,,,,,1566.2612820000002,908.21355,2750.4,,15710.744832
2015-11-01,10486.05,,,,,,,,,1572.435768,980.0496500000002,3213.0000000000005,,16251.535418
2015-12-01,10525.24,,,,,,,,,1493.196531,870.2430400000001,2767.5,,15656.179570999999
2016-01-01,10580.37,,,,,,,,,1599.1918739999999,889.7414100000001,2812.5,,15881.803284000001
2016-02-01,796.45,,,,,,,,,1307.9619510000002,889.7414100000001,2913.2999999999997,9734.0,15641.453361
2016-03-01,892.71,,,,,,,,,1394.404755,1169.9022,2621.7,9812.0,15890.716955
2016-04-01,892.71,,,,,,,,,1449.9751290000002,1247.89568,2716.2,10899.0,17205.780809
2016-05-01,946.28,,,,,,,,,1586.842902,1597.84011,3023.1000000000004,9374.0,16528.063012
2016-06-01,1047.53,,,,,,,,,1581.6974969999999,1407.98756,2825.1,9986.0,16848.315057
2016-07-01,1101.09,,,,,,,,,1429.3935090000002,1815.4008700000002,3195.8999999999996,9560.0,17101.784379
2016-08-01,1101.11,,,,,,,,,1265.7696300000002,1878.0009000000002,3096.0,10421.0,17761.880530000002
2016-09-01,1101.11,,,,,,,,,1055.837106,1593.73519,3047.4,10610.0,17408.082296
2016-10-01,1237.41,,,,,,,,,1040.400891,1693.2795,3164.3999999999996,11305.0,18440.490391
2016-11-01,1237.88,,,,,,,,,838.7010150000001,1570.1319,3069.9,11149.0,17865.612914999998
2016-12-01,1321.64,,,,,,,,,882.951498,1336.15146,3150.8999999999996,11060.0,17751.642958
2017-01-01,0.15,,,,,,,,,864.4280400000001,1243.7907599999999,3364.2000000000003,11582.0,17054.5688
2017-02-01,77.73,,,,,,,,,817.090314,1367.96459,3052.8,13699.0,19014.584904
2017-03-01,77.73,,,,,,,,,817.090314,1367.96459,3052.8,13699.0,19014.584904
2017-04-01,131.29,,,,,,,,,841.788258,1375.1482,3106.8,14366.0,19821.026458
2017-05-01,131.32,,,,,,,,,854.1372300000002,1324.86293,3088.8,14365.0,19764.12016
2017-06-01,194.37,,,,,,,,,656.553678,1324.86293,3263.3999999999996,15299.0,20738.186608
2017-07-01,268.6,,,,,,,,,661.699083,1279.70881,3135.3300000000004,14516.999999999998,19862.337892999996
2017-08-01,268.73,,,,,,,,,596.86698,1327.94162,3264.3,15005.000000000002,20462.838600000003
